Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commission (in value),Gender,Age
JZI,Airlines,Online,Value Plan,0,12,"TAIWAN, PROVINCE OF CHINA",45.0,15.75,M,39
EPX,Travel Agency,Online,Cancellation Plan,0,50,JAPAN,22.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,251,BRAZIL,80.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,6,INDIA,-10.0,0.0,None,36
JZI,Airlines,Online,Value Plan,0,5,CHINA,45.0,15.75,M,34
EPX,Travel Agency,Online,Cancellation Plan,0,16,GHANA,80.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,22,SINGAPORE,144.0,36.0,F,37
EPX,Travel Agency,Online,Cancellation Plan,0,4,CHINA,10.0,0.0,None,26
EPX,Travel Agency,Online,Cancellation Plan,0,104,CHINA,25.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,57,MYANMAR,95.0,0.0,None,35
C2B,Airlines,Online,Annual Silver Plan,0,364,SINGAPORE,187.85,46.96,M,29
EPX,Travel Agency,Online,Cancellation Plan,0,14,HONG KONG,10.0,0.0,None,81
EPX,Travel Agency,Online,Cancellation Plan,0,8,CHINA,19.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,20,AUSTRALIA,23.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,20,SINGAPORE,23.4,5.85,M,35
C2B,Airlines,Online,Silver Plan,0,18,SINGAPORE,27.0,6.75,F,22
EPX,Travel Agency,Online,Cancellation Plan,0,27,JAPAN,80.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,53,CANADA,54.0,0.0,None,42
EPX,Travel Agency,Online,Cancellation Plan,0,5,SINGAPORE,15.0,0.0,None,36
SSI,Airlines,Online,Ticket Protector,0,4784,SINGAPORE,0.32,0.09,None,48
EPX,Travel Agency,Online,Cancellation Plan,0,40,INDIA,10.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,216.0,54.0,F,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,21,MALAYSIA,39.6,23.76,None,26
EPX,Travel Agency,Online,Cancellation Plan,0,18,JAPAN,38.0,0.0,None,36
CSR,Travel Agency,Offline,Comprehensive Plan,0,16,MALAYSIA,29.0,9.57,F,57
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,16,INDONESIA,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,18,"TANZANIA, UNITED REPUBLIC OF",80.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,10,NEW ZEALAND,79.2,47.52,None,32
C2B,Airlines,Online,Annual Silver Plan,0,364,SINGAPORE,432.0,108.0,F,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,18,THAILAND,29.7,17.82,None,65
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,4,MALAYSIA,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,24,INDONESIA,13.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,7,MALAYSIA,30.0,0.0,None,28
EPX,Travel Agency,Online,Cancellation Plan,0,25,INDIA,10.0,0.0,None,36
